election_date,election_year,democratic_vote_share_adj,republican_vote_share_adj,state,state_name,region,electoral_votes,PVI,state_unemployment,state_house_price,state_med_income,state_personal_income,nat_gdp,nat_nonfarm_payroll,nat_ind_production,nat_personal_exp,nat_personal_inc,nat_price_index,stock_market,net_approval,incumbent
11/8/1988,1988,0.539825889,0.460174111,MA,Massachusetts,Northeast,11,0.142631127,3.4,0.750844548,33210,127621.692,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.4602195,0.5397805,MI,Michigan,Midwest,16,0.003132516,7.1,0.379388216,29470,156960.607,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.535508599,0.464491401,MN,Minnesota,Midwest,10,0.17649101,4.3,0.161237363,29090,75230.189,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.39478917,0.60521083,MS,Mississippi,South,6,-0.024057742,8.7,0.084383754,18170,29832.299,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.480030883,0.519969117,MO,Missouri,Midwest,10,-0.004138886,5.9,0.20641855,23440,81339.753,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.470118103,0.529881897,MT,Montana,West,3,-0.073787758,6.1,0.009161951,22230,10639.678,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.394459145,0.605540855,NE,Nebraska,Midwest,5,-0.258838707,3.2,0.0612611,25160,25095.265,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.391814108,0.608185892,NV,Nevada,West,6,-0.195312421,4.9,0.115251373,27980,19531.049,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.367663673,0.632336327,NH,New Hampshire,Northeast,4,-0.205168901,3.1,0.665335173,34630,21178.04,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.430988424,0.569011576,NJ,New Jersey,Northeast,14,-0.030807143,3.8,0.782391666,36290,169577.023,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.474900843,0.525099157,NM,New Mexico,West,5,-0.04072586,7,0.023591605,19300,19815.832,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.520685942,0.479314058,NY,New York,Northeast,29,0.096436269,4.6,0.67677305,28920,372770.916,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.418424621,0.581575379,NC,North Carolina,South,15,-0.021856912,3.6,0.250439648,24420,99786.252,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.434046443,0.565953557,ND,North Dakota,Midwest,3,-0.176862839,4.6,-0.039553195,24090,8342.734,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.445259353,0.554740647,OH,Ohio,Midwest,18,-0.00667837,5.7,0.242489071,27740,179627.865,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.416101877,0.583898123,OK,Oklahoma,South,7,-0.189448609,6.2,-0.184731935,23670,45022.801,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.523836808,0.476163192,OR,Oregon,West,7,0.044725806,5.5,0.062229818,27750,43446.015,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.48830453,0.51169547,PA,Pennsylvania,Northeast,20,0.089240294,4.8,0.550439514,26740,203660.631,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.558778706,0.441221294,RI,Rhode Island,Northeast,4,0.167443769,3.2,0.998206348,29840,17980.326,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.379278544,0.620721456,SC,South Carolina,South,9,-0.051005799,4.4,0.185861423,25530,47509.643,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.468076212,0.531923788,SD,South Dakota,Midwest,3,-0.113600548,4,0.093134496,22290,9576.859,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.417813595,0.582186405,TN,Tennessee,South,11,0.040582112,5.8,0.212223251,20860,71640.083,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.436536671,0.563463329,TX,Texas,South,38,-0.078571836,7,-0.11663674,24960,255421.522,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.326121252,0.673878748,UT,Utah,West,6,-0.352566795,4.6,0.002318737,26310,22286.927,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.482182869,0.517817131,VT,Vermont,Northeast,3,0.016139245,3.2,0.601750375,28990,8791.924,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.396410539,0.603589461,VA,Virginia,South,13,-0.060155176,4,0.431109325,32650,111768.346,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.508077118,0.491922882,WA,Washington,West,12,0.030015565,6,0.162152336,32330,79647.768,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.523768932,0.476231068,WV,West Virginia,South,5,0.096821839,9.3,0.127578656,19350,22922.286,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.518234663,0.481765337,WI,Wisconsin,Midwest,10,0.081777667,4.2,0.177156835,29580,77433.268,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/8/1988,1988,0.385751236,0.614248764,WY,Wyoming,West,3,-0.252609681,6.4,-0.152398871,26420,6938.228,0.067155775,0.026960264,0.031361794,0.075126651,0.058509488,0.032931375,0.135185276,-17.84319269,0
11/3/1992,1992,0.461788735,0.538211265,AL,Alabama,South,9,-0.098129596,7.4,0.132114253,25810,71977.381,0.056351255,0.006030471,0.008177227,0.05958976,0.048229561,0.043684843,0.11917395,21.79688304,-1
